date,FU907005005.Q,FU903012005.Q,FU903091005.Q,FU904010005.Q,FU902050005.Q,FU903020005.Q,FU903023005.Q,FU903028003.Q,FU903029200.Q,FU903070005.Q,FU903078005.Q,FU903090005.Q,FU906000105.Q,FU087005005.Q,FU156600075.Q
1955:Q1,-10964.00,-9.00,0.00,-45.00,-309.00,-2152.00,222.00,-61.00,-2313.00,-3018.00,-4717.00,-218.00,-496.00,338.00,158.00
1955:Q2,-1809.00,-6.00,0.00,214.00,226.00,611.00,-903.00,35.00,1479.00,1130.00,-4706.00,776.00,-54.00,-429.00,483.00
1955:Q3,-3540.00,-4.00,0.00,289.00,-1212.00,-1797.00,61.00,139.00,-1997.00,127.00,277.00,-295.00,-925.00,1028.00,-103.00
1955:Q4,5879.00,-2.00,0.00,-444.00,174.00,3491.00,229.00,239.00,3023.00,3181.00,-71.00,207.00,-657.00,1169.00,-512.00
1956:Q1,-9675.00,-5.00,0.00,-102.00,348.00,-2039.00,118.00,259.00,-2416.00,-2678.00,-4536.00,-1698.00,1035.00,-1306.00,271.00
1956:Q2,-4000.00,-14.00,0.00,-133.00,430.00,753.00,-347.00,199.00,901.00,585.00,-5482.00,-522.00,383.00,-1024.00,641.00
1956:Q3,-3501.00,-9.00,0.00,618.00,-1667.00,-1092.00,168.00,146.00,-1406.00,-1618.00,338.00,-798.00,728.00,-504.00,-224.00
1956:Q4,4038.00,-11.00,0.00,-536.00,346.00,3203.00,428.00,100.00,2675.00,2669.00,-214.00,-1310.00,-108.00,766.00,-658.00
1957:Q1,-9245.00,-12.00,0.00,-370.00,366.00,-2722.00,-489.00,107.00,-2340.00,-2796.00,-3908.00,-673.00,870.00,-1243.00,373.00
1957:Q2,-2876.00,-11.00,0.00,-7.00,999.00,402.00,-172.00,167.00,407.00,233.00,-4313.00,-581.00,402.00,-1107.00,705.00
1957:Q3,-5570.00,-11.00,0.00,566.00,-2159.00,-1053.00,469.00,243.00,-1765.00,-447.00,-1053.00,-887.00,-526.00,775.00,-249.00
1957:Q4,3744.00,-10.00,0.00,-741.00,-53.00,3100.00,247.00,337.00,2516.00,4828.00,-1394.00,-1600.00,-386.00,1184.00,-798.00
1958:Q1,-11183.00,-20.00,0.00,-1003.00,118.00,-1691.00,61.00,310.00,-2062.00,-4810.00,-3024.00,-1636.00,883.00,-1200.00,317.00
1958:Q2,-249.00,-9.00,0.00,-427.00,1890.00,922.00,-50.00,161.00,811.00,1725.00,-3717.00,-658.00,25.00,-783.00,758.00
1958:Q3,-5680.00,-13.00,0.00,934.00,-1716.00,-2160.00,-126.00,36.00,-2070.00,-1336.00,-1794.00,959.00,-554.00,784.00,-230.00
1958:Q4,3491.00,-8.00,0.00,-110.00,602.00,3172.00,-42.00,-62.00,3276.00,3577.00,-1984.00,-755.00,-1003.00,1811.00,-808.00
1959:Q1,-3248.00,-6.00,0.00,90.00,1460.00,-2867.00,-3.00,-139.00,-2725.00,-1518.00,285.00,-1133.00,442.00,-806.00,364.00
1959:Q2,-28.00,-18.00,0.00,335.00,530.00,287.00,-400.00,-196.00,883.00,287.00,-309.00,-1712.00,572.00,-1404.00,832.00
1959:Q3,-6738.00,-25.00,0.00,658.00,-1253.00,-1384.00,407.00,-312.00,-1479.00,-1196.00,-60.00,-1055.00,-2423.00,2685.00,-262.00
1959:Q4,9285.00,11.00,0.00,-644.00,236.00,3413.00,-8.00,-494.00,3915.00,3691.00,-200.00,1556.00,1221.00,-327.00,-894.00
1960:Q1,-6599.00,-16.00,0.00,-148.00,1083.00,-2682.00,-239.00,-443.00,-2000.00,-3020.00,335.00,-2068.00,-83.00,-496.00,579.00
1960:Q2,3013.00,-5.00,0.00,-6.00,-384.00,500.00,-293.00,-160.00,953.00,1134.00,238.00,515.00,1021.00,-2082.00,1061.00
1960:Q3,-5947.00,-9.00,0.00,478.00,-413.00,-1622.00,178.00,229.00,-2029.00,-1651.00,-174.00,-584.00,-1972.00,2328.00,-356.00
1960:Q4,8478.00,-10.00,0.00,-489.00,-107.00,4220.00,173.00,603.00,3444.00,3293.00,460.00,-1250.00,2361.00,-1111.00,-1250.00
1961:Q1,-1400.00,-6.00,0.00,-504.00,18.00,-1519.00,39.00,622.00,-2179.00,-2758.00,562.00,2655.00,151.00,-930.00,779.00
1961:Q2,-2668.00,-12.00,0.00,-247.00,137.00,1191.00,-93.00,287.00,996.00,-976.00,-248.00,-2797.00,284.00,-1346.00,1062.00
1961:Q3,-2777.00,-109.00,0.00,505.00,-381.00,-1774.00,-407.00,-18.00,-1349.00,-1797.00,-542.00,2629.00,-1308.00,1739.00,-431.00
1961:Q4,9355.00,-6.00,0.00,63.00,540.00,3795.00,528.00,-295.00,3562.00,2986.00,-656.00,839.00,1794.00,-436.00,-1358.00
1962:Q1,-3202.00,5.00,0.00,-1189.00,-189.00,-2925.00,-27.00,-334.00,-2564.00,-2256.00,1524.00,2331.00,-503.00,-501.00,1004.00
1962:Q2,1238.00,-1.00,0.00,9.00,-52.00,1360.00,104.00,-139.00,1395.00,201.00,474.00,-905.00,152.00,-1440.00,1288.00
1962:Q3,-3453.00,40.00,0.00,869.00,-836.00,-2454.00,-530.00,35.00,-1959.00,-1011.00,246.00,1855.00,-2162.00,2721.00,-559.00
1962:Q4,8550.00,-6.00,0.00,-1146.00,184.00,4774.00,802.00,175.00,3797.00,3175.00,-1133.00,167.00,2536.00,-860.00,-1676.00
1963:Q1,-576.00,-2.00,0.00,-648.00,783.00,-2533.00,-66.00,194.00,-2661.00,-2796.00,1238.00,2673.00,709.00,-1927.00,1218.00
1963:Q2,339.00,1.00,0.00,271.00,8.00,1031.00,-313.00,85.00,1259.00,-707.00,-351.00,-1373.00,1459.00,-2902.00,1443.00
1963:Q3,-4107.00,8.00,0.00,666.00,-857.00,-1612.00,377.00,-5.00,-1984.00,-826.00,-639.00,2656.00,-3503.00,4183.00,-680.00
1963:Q4,10374.00,28.00,0.00,-587.00,1481.00,4101.00,98.00,-86.00,4089.00,4493.00,-1059.00,-873.00,2790.00,-875.00,-1915.00
1964:Q1,-4701.00,18.00,0.00,-472.00,175.00,-1574.00,251.00,406.00,-2231.00,-4079.00,1585.00,-64.00,-290.00,-1015.00,1305.00
1964:Q2,-412.00,17.00,0.00,-73.00,-1142.00,299.00,-482.00,-532.00,1313.00,-100.00,-36.00,517.00,106.00,-1606.00,1500.00
1964:Q3,-8215.00,39.00,0.00,1000.00,-654.00,-2399.00,-313.00,25.00,-2111.00,-2210.00,-587.00,-77.00,-3328.00,4048.00,-720.00
1964:Q4,13751.00,123.00,0.00,-1398.00,2201.00,3813.00,389.00,-837.00,4261.00,5189.00,-541.00,915.00,3450.00,-1442.00,-2008.00
1965:Q1,-2797.00,49.00,0.00,354.00,-883.00,-2652.00,-163.00,983.00,-3472.00,-2828.00,1070.00,1238.00,856.00,-2152.00,1296.00
1965:Q2,213.00,15.00,0.00,466.00,-603.00,1487.00,165.00,86.00,1236.00,-494.00,211.00,-1734.00,865.00,-2457.00,1592.00
1965:Q3,-8205.00,-12.00,0.00,72.00,-393.00,-2746.00,321.00,102.00,-3168.00,-2186.00,-243.00,1594.00,-4292.00,5092.00,-800.00
1965:Q4,5225.00,12.00,0.00,-756.00,277.00,5789.00,109.00,131.00,5549.00,4606.00,-236.00,-6181.00,1713.00,291.00,-2004.00
1966:Q1,-8197.00,17.00,0.00,-37.00,-424.00,-2477.00,-613.00,126.00,-1990.00,-4767.00,1393.00,-596.00,-1307.00,317.00,990.00
1966:Q2,-1516.00,59.00,0.00,1058.00,-490.00,2486.00,-58.00,87.00,2456.00,-2113.00,239.00,-2733.00,-22.00,-1552.00,1574.00
1966:Q3,-10582.00,89.00,0.00,1252.00,-1968.00,-3019.00,-99.00,46.00,-2966.00,-2792.00,-299.00,1879.00,-5725.00,6160.00,-435.00
1966:Q4,8990.00,-8.00,0.00,-744.00,268.00,5318.00,757.00,4.00,4557.00,4985.00,-832.00,-1823.00,1826.00,198.00,-2024.00
1967:Q1,-10594.00,26.00,0.00,-1481.00,1379.00,-5137.00,-200.00,-500.00,-4437.00,-5375.00,1144.00,349.00,-1500.00,131.00,1369.00
1967:Q2,388.00,110.00,0.00,900.00,52.00,2041.00,-536.00,530.00,2047.00,-329.00,948.00,-2409.00,-925.00,-1108.00,2033.00
1967:Q3,-8905.00,18.00,0.00,1049.00,-553.00,-2517.00,1310.00,-762.00,-3065.00,-1705.00,-505.00,-637.00,-4055.00,4768.00,-713.00
1967:Q4,8569.00,62.00,0.00,-492.00,944.00,5860.00,62.00,513.00,5285.00,4951.00,-957.00,-4756.00,2958.00,-381.00,-2577.00
1968:Q1,-8597.00,53.00,0.00,-1527.00,-1031.00,-4420.00,122.00,841.00,-5382.00,-5062.00,2815.00,1752.00,-1177.00,-57.00,1234.00
1968:Q2,-847.00,151.00,0.00,1876.00,1396.00,2408.00,-584.00,-281.00,3272.00,-753.00,-1410.00,-2622.00,-1893.00,139.00,1754.00
1968:Q3,-6854.00,13.00,0.00,425.00,-1688.00,-3016.00,822.00,60.00,-3898.00,-808.00,-256.00,2430.00,-3955.00,4600.00,-645.00
1968:Q4,10830.00,32.00,0.00,393.00,2142.00,9505.00,615.00,1353.00,7537.00,3277.00,-903.00,-7317.00,3702.00,-1503.00,-2199.00
1969:Q1,-10344.00,15.00,0.00,-892.00,-1155.00,-5915.00,-420.00,44.00,-5539.00,-5652.00,636.00,3759.00,-1140.00,-517.00,1657.00
1969:Q2,515.00,148.00,0.00,3048.00,150.00,2722.00,-554.00,29.00,3247.00,-1060.00,2281.00,-5841.00,-934.00,-973.00,1906.00
1969:Q3,-6125.00,7.00,0.00,-1044.00,-4242.00,-2809.00,1558.00,22.00,-4389.00,-2249.00,-53.00,8668.00,-4403.00,5009.00,-606.00
1969:Q4,2740.00,49.00,0.00,-540.00,2092.00,5962.00,-1522.00,-1292.00,8776.00,5687.00,-1188.00,-13969.00,4647.00,-1903.00,-2744.00
1970:Q1,-12975.00,11.00,0.00,-643.00,-405.00,-7626.00,-764.00,3.00,-6865.00,-5537.00,406.00,1105.00,-287.00,-1831.00,2118.00
1970:Q2,748.00,-62.00,0.00,1031.00,4973.00,805.00,-431.00,5.00,1230.00,773.00,2203.00,-7881.00,-1094.00,-859.00,1953.00
1970:Q3,-8976.00,-17.00,0.00,495.00,-3414.00,-2750.00,182.00,1236.00,-4168.00,-318.00,-694.00,4768.00,-7046.00,7848.00,-802.00
1970:Q4,9575.00,-11.00,0.00,-1049.00,800.00,9933.00,-16.00,-72.00,10020.00,6307.00,-1351.00,-7893.00,2839.00,196.00,-3035.00
1971:Q1,-12037.00,-23.00,0.00,815.00,1017.00,-7169.00,-537.00,-1261.00,-5371.00,-2599.00,-434.00,-139.00,-3505.00,918.00,2587.00
1971:Q2,-3038.00,-7.00,0.00,-85.00,1500.00,3452.00,140.00,159.00,3153.00,-175.00,1946.00,-5750.00,-3919.00,1669.00,2250.00
1971:Q3,-12647.00,-13.00,0.00,-1421.00,-3613.00,-4772.00,132.00,-608.00,-4296.00,-1384.00,340.00,4843.00,-6627.00,7560.00,-933.00
1971:Q4,7837.00,55.00,0.00,-1387.00,2292.00,9031.00,-108.00,628.00,8511.00,7550.00,-442.00,-13504.00,4242.00,-666.00,-3576.00
1972:Q1,-13256.00,-95.00,0.00,-2414.00,253.00,-5312.00,812.00,24.00,-6147.00,-7480.00,-1177.00,4699.00,-1730.00,-1153.00,2883.00
1972:Q2,1040.00,-18.00,0.00,1593.00,1986.00,3995.00,-650.00,74.00,4571.00,-2653.00,2924.00,-2561.00,-4226.00,1760.00,2466.00
1972:Q3,-12221.00,-23.00,0.00,-2588.00,-2269.00,-4983.00,476.00,32.00,-5491.00,1409.00,741.00,2818.00,-7325.00,8237.00,-912.00
1972:Q4,1264.00,-17.00,0.00,-2538.00,2160.00,11561.00,-60.00,25.00,11596.00,7337.00,-20.00,-22994.00,5775.00,-1712.00,-4063.00
1973:Q1,-19639.00,-19.00,0.00,1195.00,-1783.00,-8702.00,444.00,33.00,-9179.00,-10821.00,-288.00,3980.00,-3201.00,-206.00,3407.00
1973:Q2,2343.00,82.00,0.00,-1581.00,1963.00,4365.00,-490.00,48.00,4807.00,-32.00,3225.00,-1898.00,-3782.00,1179.00,2603.00
1973:Q3,-6508.00,-19.00,0.00,3952.00,-3333.00,-5683.00,69.00,83.00,-5835.00,-3491.00,216.00,6865.00,-5015.00,5982.00,-967.00
1973:Q4,6562.00,-25.00,0.00,-2941.00,-188.00,9910.00,227.00,124.00,9559.00,12970.00,-843.00,-17679.00,5359.00,-858.00,-4501.00
1974:Q1,-18551.00,3.00,0.00,-365.00,-4027.00,-9591.00,183.00,109.00,-9882.00,-10623.00,2096.00,5799.00,-1843.00,-1104.00,2947.00
1974:Q2,12859.00,-14.00,0.00,4086.00,8067.00,5260.00,-753.00,34.00,5978.00,-3566.00,4002.00,-1882.00,-3094.00,464.00,2630.00
1974:Q3,-1931.00,-42.00,0.00,939.00,-3459.00,-6943.00,664.00,-31.00,-7576.00,2151.00,1578.00,7401.00,-3556.00,4459.00,-903.00
1974:Q4,13208.00,-38.00,0.00,-2821.00,6850.00,11649.00,-159.00,-97.00,11904.00,13081.00,-337.00,-15709.00,534.00,3571.00,-4105.00
1975:Q1,-1661.00,-34.00,57.00,20.00,-3518.00,-10092.00,-983.00,-116.00,-8993.00,-23023.00,-320.00,40275.00,-5026.00,2097.00,2929.00
1975:Q2,16297.00,-23.00,231.00,-4002.00,556.00,3358.00,-898.00,-91.00,4347.00,-5499.00,2036.00,24466.00,-4826.00,1988.00,2838.00
1975:Q3,6525.00,-48.00,429.00,3489.00,926.00,-6402.00,-112.00,-75.00,-6215.00,-4356.00,-581.00,19322.00,-6254.00,7256.00,-1002.00
1975:Q4,13925.00,-24.00,-362.00,-4221.00,-1451.00,14817.00,2033.00,-79.00,12863.00,26193.00,-2218.00,-21098.00,2290.00,1888.00,-4178.00
1976:Q1,5016.00,-37.00,96.00,2099.00,2037.00,-8402.00,334.00,-65.00,-8670.00,-25274.00,-565.00,40747.00,-5686.00,2361.00,3325.00
1976:Q2,-6038.00,184.00,397.00,-374.00,2660.00,1428.00,-473.00,-35.00,1936.00,-5066.00,2104.00,-1351.00,-6020.00,2854.00,3166.00
1976:Q3,-2715.00,-228.00,411.00,1076.00,5185.00,-7391.00,-994.00,6.00,-6403.00,-6009.00,-449.00,12937.00,-8247.00,9666.00,-1419.00
1976:Q4,6274.00,-32.00,-52.00,-3590.00,-2183.00,14092.00,275.00,43.00,13774.00,28215.00,-1617.00,-27409.00,-1149.00,5582.00,-4433.00
1977:Q1,-19984.00,-130.00,388.00,-1348.00,6228.00,-6942.00,817.00,55.00,-7813.00,-18425.00,211.00,9892.00,-9859.00,5890.00,3969.00
1977:Q2,1852.00,-25.00,524.00,1319.00,-1554.00,2171.00,-375.00,37.00,2508.00,-3727.00,3820.00,4479.00,-5155.00,1545.00,3610.00
1977:Q3,-24827.00,-26.00,-944.00,-2947.00,2331.00,-5620.00,218.00,33.00,-5871.00,-12667.00,-673.00,4911.00,-9192.00,10317.00,-1125.00
1977:Q4,4064.00,-80.00,-914.00,-3828.00,-3149.00,13558.00,719.00,34.00,12805.00,24488.00,-658.00,-29545.00,4192.00,1503.00,-5695.00
1978:Q1,-5292.00,26.00,-367.00,4851.00,12981.00,-9823.00,-588.00,29.00,-9264.00,-22674.00,-437.00,10610.00,-459.00,-4725.00,5184.00
1978:Q2,13901.00,-27.00,-92.00,-1473.00,-1908.00,3548.00,310.00,15.00,3223.00,-11907.00,4271.00,27296.00,-5807.00,1521.00,4286.00
1978:Q3,-14913.00,11.00,258.00,-795.00,3216.00,-6836.00,-19.00,-31.00,-6786.00,-19928.00,801.00,20241.00,-11882.00,13812.00,-1930.00
1978:Q4,-671.00,-36.00,-437.00,-2824.00,-14501.00,-278.00,-12621.00,-55.00,12398.00,30272.00,-1780.00,-5217.00,-5870.00,12545.00,-6675.00
1979:Q1,19841.00,-51.00,331.00,-1296.00,14445.00,-7971.00,1289.00,-52.00,-9207.00,-25758.00,582.00,45411.00,-5853.00,1263.00,4590.00
1979:Q2,12335.00,-44.00,-257.00,-513.00,84.00,1242.00,-1416.00,-29.00,2687.00,-6830.00,7062.00,23570.00,-11979.00,7997.00,3982.00
1979:Q3,-8015.00,-20.00,5231.00,-2769.00,-5060.00,-6084.00,422.00,-11.00,-6494.00,-12474.00,1711.00,32001.00,-20552.00,22445.00,-1893.00
1979:Q4,7754.00,-35.00,-1925.00,814.00,-20487.00,14078.00,1024.00,12.00,13042.00,33016.00,-1912.00,-8465.00,-7330.00,13080.00,-5750.00
1980:Q1,1354.00,-45.00,2857.00,-293.00,12646.00,-9813.00,-1182.00,16.00,-8647.00,-28807.00,-105.00,39504.00,-14590.00,9855.00,4735.00
1980:Q2,1980.00,-31.00,1603.00,-3669.00,-2485.00,2855.00,-498.00,5.00,3347.00,-10020.00,10334.00,19491.00,-16097.00,12103.00,3994.00
1980:Q3,-41618.00,-54.00,-4064.00,-2383.00,-1437.00,-8287.00,-1150.00,7.00,-7144.00,-9807.00,1278.00,-1615.00,-15249.00,17305.00,-2056.00
1980:Q4,-11584.00,-47.00,2807.00,-1651.00,-10695.00,16451.00,1738.00,11.00,14702.00,25729.00,-4106.00,-41062.00,990.00,4668.00,-5658.00
1981:Q1,-7037.00,-62.00,2862.00,-683.00,28052.00,-9282.00,-3923.00,11.00,-5370.00,-20020.00,-1367.00,7169.00,-13707.00,8507.00,5200.00
1981:Q2,-11494.00,-55.00,-2249.00,1178.00,-2150.00,9528.00,9320.00,6.00,202.00,-9377.00,11179.00,-9167.00,-10381.00,6085.00,4296.00
1981:Q3,-40410.00,-47.00,-3164.00,-1509.00,-6502.00,-10845.00,-3724.00,3.00,-7124.00,-17356.00,2297.00,11606.00,-14889.00,17419.00,-2530.00
1981:Q4,4330.00,-41.00,-1797.00,-4598.00,1751.00,14451.00,-1917.00,2.00,16366.00,33511.00,-4539.00,-35510.00,1102.00,4696.00,-5798.00
1982:Q1,4216.00,-51.00,4063.00,-5392.00,15025.00,-5852.00,-324.00,3.00,-5531.00,-19414.00,2344.00,12820.00,674.00,-6276.00,5602.00
1982:Q2,3184.00,-53.00,-870.00,-795.00,-10766.00,923.00,1462.00,6.00,-545.00,-2339.00,7250.00,10930.00,-1095.00,-3514.00,4609.00
1982:Q3,-15394.00,-64.00,-3700.00,-2635.00,-2512.00,-5445.00,-773.00,-11.00,-4661.00,-6576.00,-177.00,14965.00,-9251.00,11895.00,-2644.00
1982:Q4,16995.00,-36.00,-79.00,-3228.00,8507.00,8895.00,-16.00,29.00,8882.00,40502.00,-1800.00,-37489.00,1723.00,4652.00,-6375.00
1983:Q1,-26832.00,-58.00,5176.00,-10082.00,-11938.00,-4470.00,235.00,27.00,-4732.00,-29160.00,1568.00,28634.00,-6502.00,514.00,5988.00
1983:Q2,-31512.00,-46.00,-1310.00,1635.00,-6426.00,53.00,157.00,16.00,-120.00,-16658.00,214.00,4811.00,-13784.00,9029.00,4755.00
1983:Q3,-40613.00,-39.00,276.00,1418.00,203.00,-3094.00,-250.00,16.00,-2860.00,-32015.00,1133.00,14593.00,-23088.00,25423.00,-2335.00
1983:Q4,-233.00,-78.00,-489.00,-6950.00,6093.00,11719.00,1441.00,3.00,10275.00,31048.00,-6363.00,-23174.00,-12039.00,19192.00,-7153.00
1984:Q1,7752.00,17.00,1601.00,5193.00,545.00,-6105.00,-445.00,9.00,-5669.00,-28318.00,-2980.00,48692.00,-10893.00,1427.00,9466.00
1984:Q2,-36767.00,-69.00,1276.00,816.00,-8525.00,2701.00,-334.00,14.00,3021.00,-11880.00,5342.00,-14634.00,-11794.00,6835.00,4960.00
1984:Q3,-8950.00,-41.00,-1505.00,810.00,10692.00,-5567.00,1033.00,8.00,-6607.00,-23446.00,2754.00,22957.00,-15605.00,19319.00,-3714.00
1984:Q4,-24622.00,-40.00,-494.00,259.00,-15017.00,7581.00,212.00,7.00,7362.00,33978.00,-75.00,-49142.00,-1672.00,11048.00,-9376.00
1985:Q1,28806.00,107.00,2637.00,-2560.00,-17502.00,-2828.00,444.00,7.00,-3279.00,-33552.00,-861.00,90910.00,-7545.00,-2058.00,9603.00
1985:Q2,31379.00,-177.00,-2280.00,-852.00,-12421.00,883.00,246.00,8.00,629.00,-2253.00,6845.00,58659.00,-17025.00,9725.00,7300.00
1985:Q3,28276.00,-61.00,3657.00,-351.00,-2632.00,-2791.00,-172.00,8.00,-2627.00,-10392.00,-412.00,60027.00,-18769.00,23323.00,-4554.00
1985:Q4,46119.00,-116.00,1717.00,2126.00,918.00,6837.00,813.00,8.00,6016.00,51301.00,-2219.00,-5097.00,-9348.00,20272.00,-10924.00
1986:Q1,-16908.00,56.00,2438.00,-10899.00,17094.00,-8002.00,-1191.00,8.00,-6819.00,-19035.00,-3313.00,17002.00,-12250.00,3213.00,9037.00
1986:Q2,-41113.00,-30.00,2248.00,-3720.00,-2195.00,1494.00,743.00,7.00,744.00,-21071.00,8180.00,412.00,-26431.00,19458.00,6973.00
1986:Q3,-52026.00,-32.00,9453.00,2246.00,-8091.00,-8797.00,-55.00,7.00,-8749.00,-9387.00,806.00,-10563.00,-27662.00,32222.00,-4560.00
1986:Q4,-79583.00,-20.00,6375.00,-2971.00,12.00,5778.00,-110.00,6.00,5882.00,55491.00,186.00,-132581.00,-11853.00,21851.00,-9998.00
1987:Q1,-14719.00,-40.00,-1389.00,7098.00,-2359.00,-9064.00,-545.00,6.00,-8525.00,-24371.00,340.00,28011.00,-12945.00,4365.00,8580.00
1987:Q2,-54192.00,-47.00,4670.00,-4165.00,-13937.00,4085.00,1456.00,5.00,2624.00,-19638.00,7124.00,-17216.00,-15068.00,6933.00,8135.00
1987:Q3,-61063.00,-3.00,3394.00,9183.00,2684.00,-6013.00,337.00,5.00,-6354.00,-9032.00,2668.00,-52333.00,-11612.00,17200.00,-5588.00
1987:Q4,-25527.00,-51.00,5512.00,-9998.00,-8508.00,11409.00,-1265.00,4.00,12669.00,42014.00,-784.00,-62664.00,-2457.00,12059.00,-9602.00
1988:Q1,9086.00,-33.00,-4408.00,-1824.00,8128.00,-3537.00,1450.00,0.00,-4986.00,-26470.00,-5518.00,36551.00,6196.00,-16983.00,10787.00
1988:Q2,5240.00,-62.00,1352.00,1525.00,-2076.00,445.00,-1702.00,0.00,2147.00,-29875.00,9935.00,29430.00,-5434.00,-2914.00,8348.00
1988:Q3,-29509.00,-16.00,2634.00,1392.00,-5755.00,-4852.00,-626.00,0.00,-4226.00,-15937.00,-649.00,-2376.00,-3950.00,8908.00,-4958.00
