date,FA897005005.Q,FA157005005.Q,FA107005005.Q,FA317005005.Q,FA217005005.Q,FA797005005.Q,FA717005005.Q,FA767005005.Q,FA757005005.Q,FA747005005.Q,FA477005005.Q,FA517005005.Q,FA547005005.Q,FA657005005.Q,FA407005005.Q,FA677005005.Q,FA617005005.Q,FA647005005.Q,FA667005005.Q,FA737005005.Q,FA267005005.Q
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-19820.00,-10092.00,-903.00,-9082.00,-477.00,835.00,-2.00,306.00,25.00,36.00,29.00,85.00,361.00,-32.00,-12.00,0.00,192.00,-14.00,-1.00,-138.00,-101.00
1952:Q1,-6225.00,-24626.00,16527.00,-4913.00,4834.00,2088.00,-288.00,1135.00,-144.00,8.00,28.00,-21.00,29.00,36.00,-28.00,0.00,1417.00,-6.00,13.00,-91.00,-134.00
1952:Q2,-18277.00,-21397.00,910.00,-4412.00,7537.00,-441.00,12.00,-681.00,32.00,-4.00,36.00,110.00,1371.00,56.00,8.00,0.00,-1293.00,-6.00,9.00,-91.00,-474.00
1952:Q3,-40662.00,-7192.00,-12784.00,-18761.00,-1488.00,-191.00,-15.00,1022.00,-355.00,-4.00,41.00,153.00,-252.00,0.00,-8.00,0.00,-723.00,-3.00,19.00,-66.00,-246.00
1952:Q4,-7858.00,-1501.00,-1459.00,-10512.00,4680.00,-44.00,260.00,265.00,492.00,-12.00,36.00,-86.00,323.00,-188.00,28.00,0.00,-1097.00,-5.00,24.00,-84.00,978.00
1953:Q1,-3906.00,-16916.00,17492.00,-8274.00,3349.00,700.00,-331.00,1056.00,129.00,0.00,24.00,-485.00,658.00,24.00,-24.00,0.00,-147.00,-16.00,1.00,-188.00,-257.00
1953:Q2,-15051.00,-21503.00,4408.00,-3100.00,4935.00,-618.00,65.00,-1083.00,24.00,0.00,40.00,32.00,574.00,-36.00,16.00,0.00,-60.00,-16.00,18.00,-192.00,827.00
1953:Q3,-34930.00,-3652.00,-12463.00,-16851.00,-2143.00,485.00,-115.00,215.00,-352.00,4.00,40.00,-85.00,511.00,-56.00,-4.00,0.00,533.00,-17.00,11.00,-200.00,-305.00
1953:Q4,-9874.00,-1590.00,-4353.00,-7898.00,3989.00,-177.00,357.00,292.00,488.00,4.00,56.00,130.00,-1028.00,-28.00,16.00,0.00,-266.00,-16.00,13.00,-194.00,155.00
1954:Q1,-5453.00,-8808.00,18209.00,-14731.00,2371.00,654.00,-312.00,273.00,-170.00,0.00,69.00,-77.00,536.00,0.00,0.00,0.00,549.00,-18.00,21.00,-217.00,-3148.00
1954:Q2,-20172.00,-15892.00,6963.00,-12523.00,3487.00,-2072.00,28.00,-1241.00,42.00,-8.00,73.00,-485.00,301.00,0.00,12.00,0.00,-583.00,-18.00,17.00,-211.00,-136.00
1954:Q3,-26418.00,-3001.00,-10580.00,-6612.00,-4010.00,-999.00,24.00,932.00,-339.00,0.00,70.00,-217.00,599.00,-32.00,-8.00,0.00,-1813.00,-18.00,15.00,-212.00,-1216.00
1954:Q4,-3545.00,4152.00,-2265.00,-5923.00,3227.00,-2849.00,244.00,-381.00,493.00,-16.00,82.00,-353.00,-740.00,-376.00,12.00,0.00,-1604.00,-18.00,17.00,-209.00,112.00
1955:Q1,-13006.00,-19187.00,12369.00,-11414.00,1707.00,2738.00,-192.00,796.00,-185.00,3.00,51.00,330.00,246.00,-100.00,4.00,0.00,2066.00,-43.00,9.00,-247.00,781.00
1955:Q2,-13327.00,-9269.00,11391.00,-19718.00,2801.00,-105.00,-25.00,-204.00,66.00,7.00,66.00,-105.00,892.00,-32.00,8.00,0.00,-474.00,-46.00,10.00,-269.00,1573.00
1955:Q3,-20593.00,-2165.00,-5200.00,-5550.00,-5284.00,-1204.00,-61.00,1008.00,-342.00,11.00,69.00,-419.00,96.00,-104.00,-16.00,0.00,-1108.00,-51.00,6.00,-293.00,-1191.00
1955:Q4,5203.00,-106.00,6893.00,-4529.00,1836.00,-111.00,254.00,675.00,478.00,11.00,77.00,-209.00,58.00,-596.00,12.00,0.00,-511.00,-53.00,5.00,-312.00,1221.00
1956:Q1,-11825.00,-20490.00,16009.00,-10039.00,1049.00,2446.00,-357.00,1244.00,-198.00,11.00,89.00,327.00,1053.00,-216.00,-8.00,0.00,938.00,-40.00,27.00,-424.00,-799.00
1956:Q2,-21098.00,-15889.00,13189.00,-20707.00,3418.00,-518.00,-38.00,-662.00,89.00,23.00,89.00,8.00,228.00,-40.00,24.00,0.00,217.00,-41.00,19.00,-435.00,-591.00
1956:Q3,-18823.00,-821.00,-8418.00,-2831.00,-4873.00,-69.00,-50.00,1234.00,-347.00,19.00,92.00,-495.00,-176.00,-92.00,-12.00,0.00,234.00,-44.00,20.00,-451.00,-1811.00
1956:Q4,-793.00,-1679.00,-1452.00,-3784.00,3133.00,-32.00,402.00,2217.00,489.00,23.00,100.00,-419.00,-236.00,-700.00,28.00,0.00,-1464.00,-43.00,22.00,-450.00,3021.00
1957:Q1,-13276.00,-21334.00,14994.00,-13136.00,2802.00,3786.00,-492.00,1499.00,-201.00,27.00,97.00,300.00,721.00,-304.00,-80.00,0.00,2562.00,-27.00,14.00,-329.00,-388.00
1957:Q2,-16086.00,-18189.00,13101.00,-16333.00,4557.00,-164.00,-32.00,-61.00,63.00,31.00,106.00,322.00,462.00,-36.00,36.00,0.00,-715.00,-26.00,11.00,-325.00,942.00
1957:Q3,-19130.00,-3839.00,-9156.00,-2184.00,-3900.00,375.00,296.00,1151.00,-393.00,31.00,113.00,-305.00,-71.00,-32.00,-12.00,0.00,-52.00,-27.00,2.00,-327.00,-426.00
1957:Q4,-7291.00,-3637.00,5536.00,-11218.00,2983.00,-418.00,192.00,471.00,555.00,15.00,139.00,-575.00,196.00,-568.00,12.00,0.00,-527.00,-25.00,5.00,-308.00,-538.00
1958:Q1,-23293.00,-23210.00,9312.00,-11963.00,3093.00,548.00,-199.00,-203.00,-301.00,19.00,145.00,274.00,738.00,-276.00,0.00,0.00,642.00,-23.00,19.00,-287.00,-1073.00
1958:Q2,-7393.00,-12618.00,16103.00,-13072.00,3675.00,-664.00,5.00,-691.00,97.00,23.00,140.00,304.00,1176.00,80.00,28.00,0.00,-1568.00,-20.00,20.00,-258.00,-817.00
1958:Q3,-16189.00,-3906.00,-4635.00,-503.00,-5035.00,-173.00,145.00,228.00,-379.00,15.00,137.00,-471.00,262.00,48.00,-31.00,0.00,112.00,-18.00,22.00,-243.00,-1937.00
1958:Q4,-7605.00,-2445.00,2311.00,-10390.00,3099.00,477.00,213.00,1512.00,608.00,-1.00,148.00,-476.00,-805.00,-608.00,-7.00,0.00,159.00,-20.00,11.00,-256.00,-657.00
1959:Q1,3444.00,-13372.00,14663.00,-979.00,1947.00,2228.00,-66.00,1169.00,-384.00,-13.00,115.00,148.00,719.00,120.00,-25.00,0.00,718.00,-42.00,2.00,-232.00,-1044.00
1959:Q2,-5466.00,-15626.00,12302.00,-910.00,2588.00,-352.00,-630.00,96.00,128.00,-33.00,114.00,65.00,68.00,108.00,51.00,0.00,-27.00,-46.00,5.00,-251.00,-3468.00
1959:Q3,-10356.00,363.00,-8944.00,-442.00,-147.00,2210.00,-374.00,683.00,-353.00,-37.00,113.00,-396.00,1336.00,132.00,-33.00,0.00,1456.00,-48.00,4.00,-273.00,-3396.00
1959:Q4,9465.00,7214.00,1138.00,-2422.00,2609.00,1786.00,978.00,369.00,628.00,-37.00,129.00,-723.00,574.00,188.00,15.00,0.00,-15.00,-48.00,0.00,-271.00,-860.00
1960:Q1,-8937.00,-28021.00,15170.00,1143.00,1084.00,968.00,-351.00,540.00,-458.00,-5.00,136.00,-433.00,1835.00,148.00,-21.00,0.00,-30.00,-31.00,18.00,-381.00,719.00
1960:Q2,3875.00,-14959.00,19978.00,-1576.00,2100.00,-1097.00,49.00,-482.00,190.00,7.00,131.00,-139.00,852.00,48.00,47.00,0.00,-1388.00,-32.00,12.00,-393.00,-571.00
1960:Q3,-5770.00,2435.00,-3342.00,2842.00,-1906.00,-1025.00,21.00,238.00,-262.00,19.00,104.00,92.00,-135.00,-60.00,-37.00,0.00,-597.00,-31.00,9.00,-385.00,-4773.00
1960:Q4,6608.00,1410.00,7064.00,-102.00,2877.00,-2427.00,253.00,-1726.00,555.00,15.00,105.00,297.00,-1745.00,152.00,23.00,0.00,60.00,-31.00,6.00,-392.00,-2214.00
1961:Q1,12366.00,-2855.00,14760.00,1955.00,1583.00,1090.00,-263.00,670.00,-397.00,23.00,109.00,156.00,-32.00,120.00,-19.00,0.00,1210.00,-37.00,-19.00,-431.00,-4167.00
1961:Q2,-17316.00,-22019.00,2582.00,3307.00,958.00,-2097.00,21.00,-1461.00,155.00,35.00,108.00,27.00,234.00,8.00,69.00,0.00,-805.00,-37.00,-24.00,-427.00,-48.00
1961:Q3,4273.00,8533.00,1495.00,-3115.00,-1981.00,718.00,41.00,-67.00,-173.00,35.00,96.00,-42.00,915.00,-44.00,-7.00,0.00,453.00,-37.00,-26.00,-427.00,-1378.00
1961:Q4,10719.00,6225.00,3043.00,4167.00,2077.00,-4342.00,177.00,-1607.00,446.00,31.00,87.00,-391.00,-438.00,44.00,29.00,0.00,-2213.00,-39.00,-33.00,-435.00,-451.00
1962:Q1,8942.00,-10459.00,16893.00,223.00,1780.00,1776.00,-311.00,2146.00,-411.00,11.00,57.00,-531.00,1037.00,72.00,-54.00,0.00,239.00,-36.00,-20.00,-423.00,-1271.00
1962:Q2,-4688.00,-11275.00,10695.00,-5720.00,2274.00,443.00,9.00,-108.00,151.00,3.00,48.00,-1160.00,7.00,-32.00,126.00,0.00,1900.00,-34.00,-20.00,-447.00,-1105.00
1962:Q3,4273.00,7227.00,7154.00,-2802.00,-4203.00,2088.00,13.00,1312.00,-17.00,3.00,24.00,-1110.00,357.00,64.00,-154.00,0.00,2115.00,-35.00,-23.00,-460.00,-5192.00
1962:Q4,4009.00,3201.00,-5264.00,7629.00,4532.00,-3961.00,253.00,-2256.00,279.00,7.00,20.00,-746.00,-1480.00,212.00,-6.00,0.00,249.00,-33.00,-16.00,-444.00,-2129.00
1963:Q1,25553.00,-2558.00,25344.00,2467.00,-969.00,1662.00,-328.00,1882.00,-266.00,3.00,11.00,-260.00,1199.00,88.00,-43.00,0.00,-119.00,-35.00,-39.00,-432.00,-394.00
1963:Q2,-11352.00,-17143.00,7535.00,-5203.00,3619.00,2054.00,16.00,-419.00,97.00,3.00,-14.00,445.00,473.00,44.00,-47.00,0.00,2010.00,-41.00,-46.00,-466.00,-2214.00
1963:Q3,6014.00,4277.00,8548.00,-942.00,-5438.00,3906.00,-16.00,2499.00,105.00,7.00,-17.00,741.00,-23.00,32.00,-39.00,0.00,1193.00,-43.00,-50.00,-482.00,-4337.00
1963:Q4,3909.00,-6310.00,3207.00,5918.00,3948.00,-2312.00,284.00,-872.00,121.00,11.00,-14.00,45.00,-961.00,-64.00,-27.00,0.00,-236.00,-40.00,-56.00,-503.00,-542.00
1964:Q1,17035.00,-4360.00,25872.00,-1821.00,687.00,-1241.00,-925.00,1706.00,-133.00,-9.00,-58.00,-126.00,949.00,-204.00,-86.00,0.00,-1740.00,-49.00,-65.00,-500.00,-2102.00
1964:Q2,-17020.00,-20148.00,11945.00,-10690.00,2884.00,1494.00,-525.00,-155.00,5.00,-13.00,-51.00,119.00,252.00,-276.00,38.00,0.00,2746.00,-55.00,-67.00,-524.00,-2505.00
1964:Q3,-12820.00,-11749.00,7581.00,-337.00,-4818.00,1878.00,-517.00,3862.00,169.00,7.00,-51.00,240.00,182.00,-280.00,-50.00,0.00,-1007.00,-62.00,-70.00,-545.00,-5375.00
1964:Q4,14498.00,-5265.00,13451.00,8416.00,3423.00,-3885.00,1915.00,-5654.00,469.00,-9.00,-43.00,389.00,-1527.00,-332.00,-26.00,0.00,1618.00,-59.00,-74.00,-552.00,-1642.00
1965:Q1,32885.00,-8460.00,31849.00,2904.00,-835.00,7076.00,-455.00,8730.00,-315.00,-14.00,-46.00,51.00,561.00,-88.00,-74.00,0.00,-464.00,-87.00,-147.00,-576.00,351.00
1965:Q2,-19008.00,-19221.00,11579.00,-10421.00,2053.00,-1237.00,-19.00,-577.00,-22.00,-26.00,-43.00,-295.00,1074.00,-124.00,114.00,0.00,-454.00,-87.00,-158.00,-620.00,-1761.00
1965:Q3,-13349.00,-17234.00,10897.00,-1465.00,-7582.00,4916.00,-11.00,6429.00,262.00,-18.00,-52.00,312.00,-317.00,-180.00,-114.00,0.00,-493.00,-90.00,-169.00,-642.00,-2882.00
1965:Q4,-22785.00,-2963.00,-15632.00,7546.00,967.00,-10863.00,416.00,-8309.00,-55.00,-26.00,-37.00,873.00,-2039.00,-188.00,-34.00,0.00,-502.00,-92.00,-174.00,-697.00,-1839.00
1966:Q1,14720.00,-25554.00,26048.00,5362.00,-2001.00,9952.00,-528.00,11580.00,58.00,14.00,-34.00,1554.00,-1367.00,196.00,-74.00,0.00,-651.00,-92.00,-47.00,-657.00,913.00
1966:Q2,-29964.00,-25345.00,10164.00,-19258.00,2396.00,1313.00,-64.00,784.00,-30.00,34.00,-24.00,-179.00,1872.00,184.00,126.00,0.00,-590.00,-89.00,-43.00,-668.00,766.00
1966:Q3,-22334.00,-34455.00,14800.00,-910.00,-5295.00,7182.00,-56.00,6870.00,71.00,34.00,-47.00,-312.00,1981.00,96.00,-86.00,0.00,-560.00,-89.00,-41.00,-680.00,-3656.00
1966:Q4,-7632.00,-2824.00,4992.00,6287.00,3552.00,-18177.00,564.00,-14915.00,-254.00,22.00,-24.00,-324.00,-2134.00,84.00,34.00,0.00,-431.00,-87.00,-46.00,-667.00,-1462.00
1967:Q1,3349.00,-30354.00,26887.00,-3900.00,-757.00,13300.00,-666.00,14312.00,13.00,38.00,-6.00,801.00,104.00,312.00,-56.00,0.00,-688.00,-103.00,-123.00,-638.00,-1826.00
1967:Q2,-14245.00,-14818.00,7845.00,-8940.00,375.00,-843.00,2.00,688.00,-118.00,45.00,5.00,42.00,-251.00,164.00,120.00,0.00,-682.00,-98.00,-149.00,-611.00,2135.00
1967:Q3,-24693.00,-25324.00,5789.00,-829.00,-4098.00,3975.00,-26.00,4391.00,282.00,54.00,-13.00,687.00,90.00,180.00,-116.00,0.00,-688.00,-100.00,-168.00,-597.00,-4206.00
1967:Q4,-6571.00,38021.00,-4124.00,10843.00,2888.00,-52127.00,598.00,-52550.00,81.00,46.00,3.00,418.00,670.00,220.00,-28.00,0.00,-698.00,-102.00,-179.00,-606.00,-2072.00
1968:Q1,8373.00,-72696.00,31533.00,6191.00,-810.00,45786.00,-859.00,47792.00,191.00,22.00,-25.00,325.00,391.00,196.00,-125.00,0.00,-1159.00,-83.00,-181.00,-699.00,-1631.00
1968:Q2,-14947.00,-11672.00,1375.00,-4487.00,-973.00,-1021.00,-42.00,416.00,-247.00,26.00,-18.00,-272.00,824.00,292.00,139.00,0.00,-1202.00,-92.00,-172.00,-674.00,1830.00
1968:Q3,-21408.00,-30372.00,16955.00,167.00,-6366.00,2639.00,-42.00,6174.00,152.00,22.00,-35.00,-516.00,-831.00,-104.00,135.00,0.00,-1361.00,-94.00,-193.00,-667.00,-4432.00
1968:Q4,6105.00,22107.00,-9076.00,10634.00,5704.00,-23814.00,794.00,-21196.00,-148.00,18.00,-5.00,-521.00,-264.00,76.00,-101.00,0.00,-1418.00,-88.00,-260.00,-702.00,550.00
1969:Q1,156.00,-42180.00,17495.00,4444.00,5309.00,22454.00,-1001.00,24382.00,475.00,-87.00,-23.00,1117.00,-414.00,136.00,-23.00,0.00,-1036.00,-113.00,-211.00,-748.00,-7365.00
1969:Q2,-7171.00,-8391.00,8300.00,-10466.00,4265.00,4039.00,-80.00,2320.00,-89.00,-127.00,-11.00,974.00,2786.00,92.00,241.00,0.00,-1033.00,-38.00,-213.00,-783.00,-4917.00
1969:Q3,-19007.00,-32357.00,12438.00,-924.00,-823.00,12424.00,-36.00,13312.00,84.00,21.00,-23.00,615.00,125.00,72.00,513.00,0.00,-1144.00,-61.00,-237.00,-817.00,-9764.00
1969:Q4,-26830.00,-6686.00,-1766.00,10219.00,6976.00,-20915.00,997.00,-20000.00,-137.00,21.00,17.00,425.00,269.00,100.00,-355.00,0.00,-1155.00,-52.00,-228.00,-817.00,-14658.00
1970:Q1,-24402.00,-52097.00,33102.00,-9247.00,1017.00,4105.00,-1216.00,10314.00,-309.00,66.00,30.00,-1389.00,-218.00,76.00,-859.00,0.00,-1098.00,10.00,-409.00,-892.00,-1283.00
1970:Q2,-41478.00,-50385.00,18491.00,-4722.00,5691.00,-2524.00,-67.00,1839.00,-1869.00,99.00,47.00,-1297.00,1007.00,-128.00,213.00,0.00,-1063.00,1.00,-412.00,-893.00,-8030.00
1970:Q3,-22896.00,-42747.00,8099.00,9682.00,-5572.00,12898.00,-39.00,12203.00,199.00,98.00,27.00,-180.00,3078.00,-128.00,70.00,0.00,-1091.00,-37.00,-425.00,-877.00,-5255.00
1970:Q4,42262.00,40680.00,-13678.00,-4259.00,19294.00,1619.00,1110.00,3771.00,2225.00,74.00,65.00,-1552.00,-1791.00,-128.00,58.00,0.00,-1001.00,1.00,-403.00,-810.00,-1393.00
1971:Q1,-15351.00,-33531.00,22958.00,-9461.00,4816.00,3531.00,-1280.00,7213.00,-389.00,45.00,-15.00,271.00,-16.00,-84.00,-30.00,0.00,-555.00,-10.00,-502.00,-1116.00,-3664.00
1971:Q2,-56974.00,-57704.00,12471.00,-1935.00,4510.00,-533.00,-77.00,1419.00,-1518.00,105.00,-26.00,-1588.00,3189.00,0.00,47.00,0.00,-423.00,2.00,-528.00,-1134.00,-13783.00
1971:Q3,-43706.00,-39870.00,13614.00,9587.00,-5143.00,9589.00,-253.00,9793.00,-25.00,213.00,-61.00,-1575.00,3730.00,-112.00,-57.00,0.00,-401.00,-6.00,-519.00,-1138.00,-31483.00
1971:Q4,36491.00,49449.00,-10694.00,-117.00,14186.00,-7818.00,962.00,-3873.00,1669.00,-20.00,-27.00,-1762.00,-3023.00,20.00,186.00,0.00,-275.00,44.00,-550.00,-1170.00,-8515.00
1972:Q1,970.00,-49806.00,42194.00,-6010.00,790.00,11118.00,-1079.00,9160.00,105.00,158.00,-14.00,-498.00,5441.00,4.00,-58.00,0.00,-228.00,-35.00,-500.00,-1338.00,2683.00
1972:Q2,-42152.00,-56981.00,14253.00,-12276.00,11141.00,3090.00,105.00,4617.00,616.00,214.00,-20.00,-1099.00,659.00,100.00,117.00,0.00,-243.00,-88.00,-529.00,-1359.00,-1379.00
1972:Q3,-10313.00,-19014.00,14205.00,13478.00,-13473.00,5857.00,352.00,8354.00,-416.00,186.00,-58.00,-1068.00,601.00,16.00,-35.00,0.00,-301.00,-39.00,-367.00,-1368.00,-11365.00
1972:Q4,-41202.00,11822.00,-66118.00,-1907.00,15316.00,-833.00,606.00,7425.00,-1534.00,1.00,-17.00,-439.00,-4998.00,-164.00,159.00,0.00,-82.00,11.00,-366.00,-1435.00,518.00
1973:Q1,-15827.00,-30338.00,42218.00,-10684.00,-3552.00,-2114.00,-1310.00,470.00,-2811.00,7.00,107.00,78.00,3069.00,24.00,133.00,0.00,-150.00,35.00,-326.00,-1440.00,-11357.00
1973:Q2,-38052.00,-86037.00,38305.00,7360.00,-1018.00,-2606.00,-68.00,-2442.00,2100.00,7.00,111.00,5.00,-4.00,-208.00,256.00,0.00,-430.00,33.00,-439.00,-1527.00,5944.00
1973:Q3,8859.00,-19302.00,35431.00,10149.00,-10649.00,-3591.00,-177.00,-3120.00,674.00,490.00,22.00,-527.00,1258.00,-480.00,191.00,0.00,-135.00,116.00,-319.00,-1584.00,-3179.00
1973:Q4,-23947.00,-33219.00,4078.00,-8761.00,8920.00,-8812.00,1583.00,-4003.00,663.00,491.00,74.00,-661.00,-4990.00,-384.00,428.00,0.00,-360.00,142.00,-225.00,-1571.00,13847.00
1974:Q1,-8661.00,-26839.00,37939.00,3069.00,-2097.00,11813.00,-1664.00,12757.00,2327.00,-489.00,345.00,-659.00,1371.00,-380.00,386.00,0.00,-433.00,164.00,-56.00,-1855.00,-32546.00
1974:Q2,5514.00,-36169.00,20756.00,11051.00,-384.00,-7730.00,-245.00,-2153.00,-4369.00,-497.00,365.00,-15.00,2109.00,-332.00,355.00,0.00,-1228.00,152.00,10.00,-1882.00,17989.00
1974:Q3,16061.00,4693.00,-8155.00,2046.00,-6840.00,17802.00,-169.00,9842.00,6177.00,-224.00,276.00,538.00,4367.00,-188.00,234.00,0.00,-1373.00,205.00,-14.00,-1869.00,6515.00
1974:Q4,9414.00,7207.00,-7490.00,-12605.00,27176.00,-6118.00,2049.00,-4386.00,1710.00,448.00,316.00,1300.00,-5779.00,24.00,550.00,0.00,-846.00,360.00,0.00,-1864.00,1244.00
1975:Q1,2281.00,-32509.00,24899.00,683.00,-6704.00,11657.00,-1132.00,10833.00,1109.00,1.00,10.00,-865.00,3851.00,-64.00,214.00,0.00,-896.00,432.00,-116.00,-1720.00,4255.00
1975:Q2,32260.00,-39979.00,71790.00,-3725.00,-4407.00,1258.00,-502.00,4351.00,-1865.00,-6.00,-24.00,-197.00,2069.00,-68.00,-557.00,0.00,-596.00,389.00,-147.00,-1588.00,7322.00
1975:Q3,70813.00,14200.00,61684.00,4259.00,-15814.00,18421.00,53.00,15418.00,3971.00,250.00,-114.00,-971.00,1737.00,-152.00,-449.00,0.00,-21.00,449.00,-205.00,-1545.00,-11937.00
1975:Q4,34988.00,-15343.00,48868.00,-2628.00,14720.00,-20214.00,1957.00,-11310.00,-57.00,254.00,-65.00,-3280.00,-4643.00,-112.00,1227.00,0.00,-318.00,428.00,-139.00,-4157.00,9585.00
1976:Q1,24653.00,-26942.00,33621.00,537.00,-4059.00,11864.00,-2073.00,19060.00,1062.00,142.00,32.00,-6079.00,2764.00,-148.00,304.00,0.00,-1788.00,478.00,-270.00,-1619.00,9632.00
1976:Q2,-56605.00,-90605.00,-12306.00,15284.00,1673.00,4191.00,-108.00,3034.00,-896.00,154.00,47.00,-482.00,5336.00,-168.00,-349.00,0.00,-1235.00,477.00,9.00,-1628.00,25158.00
1976:Q3,32962.00,3060.00,57123.00,-5617.00,-9125.00,1268.00,-191.00,4078.00,-523.00,-259.00,0.00,-4543.00,5045.00,-288.00,27.00,0.00,-958.00,451.00,87.00,-1659.00,-13746.00
1976:Q4,9138.00,-47733.00,55938.00,-3763.00,4926.00,-23640.00,1753.00,-15486.00,3558.00,-231.00,73.00,-3425.00,-8631.00,-244.00,490.00,0.00,-63.00,414.00,100.00,-1949.00,23410.00
1977:Q1,-75121.00,-101615.00,14599.00,9201.00,-11064.00,14711.00,-1943.00,18024.00,-355.00,703.00,642.00,-3067.00,4562.00,-232.00,-533.00,0.00,-1543.00,350.00,-112.00,-1785.00,-953.00
1977:Q2,-19307.00,-42252.00,33940.00,-715.00,-8553.00,-8478.00,3.00,-5124.00,89.00,834.00,631.00,-2109.00,1780.00,-276.00,-101.00,0.00,-1669.00,-602.00,-8.00,-1926.00,6751.00
1977:Q3,-44395.00,-34924.00,20072.00,1868.00,-13034.00,12097.00,12.00,3328.00,7065.00,106.00,591.00,-2533.00,5978.00,-316.00,274.00,0.00,-691.00,455.00,-48.00,-2124.00,-30474.00
1977:Q4,-16760.00,-34343.00,34974.00,18138.00,-1973.00,-18008.00,2022.00,-12102.00,967.00,30.00,641.00,-3046.00,-5138.00,-172.00,1089.00,0.00,-1550.00,1398.00,-55.00,-2092.00,-15548.00
1978:Q1,-18164.00,-53399.00,27064.00,-5004.00,995.00,15072.00,-1780.00,14870.00,-785.00,299.00,193.00,1357.00,4137.00,-28.00,606.00,0.00,-2219.00,408.00,-342.00,-1644.00,-2893.00
