date,FU153050005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU153050005.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1959:Q2,6197.00,534.00,2154.00,2563.00,946.00,6197.00,ND,ND,ND,ND,ND,ND,ND
1959:Q3,6344.00,527.00,2230.00,2620.00,967.00,6344.00,ND,ND,ND,ND,ND,ND,ND
1959:Q4,6293.00,446.00,2214.00,2648.00,985.00,6293.00,ND,ND,ND,ND,ND,ND,ND
1960:Q1,6031.00,371.00,2016.00,2646.00,998.00,6031.00,ND,ND,ND,ND,ND,ND,ND
1960:Q2,5873.00,302.00,1868.00,2676.00,1027.00,5873.00,ND,ND,ND,ND,ND,ND,ND
1960:Q3,5836.00,284.00,1736.00,2741.00,1075.00,5836.00,ND,ND,ND,ND,ND,ND,ND
1960:Q4,5925.00,318.00,1711.00,2781.00,1115.00,5925.00,ND,ND,ND,ND,ND,ND,ND
1961:Q1,5849.00,341.00,1617.00,2764.00,1127.00,5849.00,ND,ND,ND,ND,ND,ND,ND
1961:Q2,5984.00,353.00,1621.00,2840.00,1170.00,5984.00,ND,ND,ND,ND,ND,ND,ND
1961:Q3,5999.00,356.00,1525.00,2918.00,1200.00,5999.00,ND,ND,ND,ND,ND,ND,ND
1961:Q4,6022.00,350.00,1501.00,2964.00,1207.00,6022.00,ND,ND,ND,ND,ND,ND,ND
1962:Q1,5858.00,341.00,1391.00,2944.00,1182.00,5858.00,ND,ND,ND,ND,ND,ND,ND
1962:Q2,5759.00,329.00,1212.00,3019.00,1199.00,5759.00,ND,ND,ND,ND,ND,ND,ND
1962:Q3,5809.00,338.00,1151.00,3093.00,1227.00,5809.00,ND,ND,ND,ND,ND,ND,ND
1962:Q4,6096.00,367.00,1345.00,3132.00,1252.00,6096.00,ND,ND,ND,ND,ND,ND,ND
1963:Q1,6214.00,391.00,1466.00,3101.00,1256.00,6214.00,ND,ND,ND,ND,ND,ND,ND
1963:Q2,6518.00,411.00,1633.00,3173.00,1301.00,6518.00,ND,ND,ND,ND,ND,ND,ND
1963:Q3,6835.00,429.00,1812.00,3250.00,1344.00,6835.00,ND,ND,ND,ND,ND,ND,ND
1963:Q4,7090.00,444.00,1981.00,3296.00,1369.00,7090.00,ND,ND,ND,ND,ND,ND,ND
1964:Q1,7355.00,464.00,2207.00,3307.00,1377.00,7355.00,ND,ND,ND,ND,ND,ND,ND
1964:Q2,7608.00,486.00,2363.00,3356.00,1403.00,7608.00,ND,ND,ND,ND,ND,ND,ND
1964:Q3,7923.00,498.00,2529.00,3445.00,1451.00,7923.00,ND,ND,ND,ND,ND,ND,ND
1964:Q4,8230.00,502.00,2736.00,3500.00,1492.00,8230.00,ND,ND,ND,ND,ND,ND,ND
1965:Q1,8411.00,587.00,2841.00,3480.00,1503.00,8411.00,ND,ND,ND,ND,ND,ND,ND
1965:Q2,8578.00,504.00,2926.00,3582.00,1566.00,8578.00,ND,ND,ND,ND,ND,ND,ND
1965:Q3,9044.00,477.00,3245.00,3693.00,1629.00,9044.00,ND,ND,ND,ND,ND,ND,ND
1965:Q4,9629.00,507.00,3676.00,3773.00,1673.00,9629.00,ND,ND,ND,ND,ND,ND,ND
1966:Q1,9986.00,521.00,4020.00,3771.00,1674.00,9986.00,ND,ND,ND,ND,ND,ND,ND
1966:Q2,10252.00,521.00,4113.00,3894.00,1724.00,10252.00,ND,ND,ND,ND,ND,ND,ND
1966:Q3,10527.00,525.00,4217.00,4017.00,1768.00,10527.00,ND,ND,ND,ND,ND,ND,ND
1966:Q4,10837.00,533.00,4421.00,4094.00,1789.00,10837.00,ND,ND,ND,ND,ND,ND,ND
1967:Q1,10734.00,316.00,4563.00,4078.00,1777.00,10734.00,ND,ND,ND,ND,ND,ND,ND
1967:Q2,11079.00,356.00,4683.00,4200.00,1840.00,11079.00,ND,ND,ND,ND,ND,ND,ND
1967:Q3,11558.00,374.00,4926.00,4327.00,1931.00,11558.00,ND,ND,ND,ND,ND,ND,ND
1967:Q4,11851.00,450.00,4960.00,4413.00,2028.00,11851.00,ND,ND,ND,ND,ND,ND,ND
1968:Q1,12117.00,559.00,4993.00,4448.00,2117.00,12117.00,ND,ND,ND,ND,ND,ND,ND
1968:Q2,12597.00,574.00,5267.00,4524.00,2232.00,12597.00,ND,ND,ND,ND,ND,ND,ND
1968:Q3,13214.00,383.00,5822.00,4643.00,2366.00,13214.00,ND,ND,ND,ND,ND,ND,ND
1968:Q4,14367.00,785.00,6403.00,4716.00,2463.00,14367.00,ND,ND,ND,ND,ND,ND,ND
1969:Q1,14545.00,667.00,6672.00,4712.00,2494.00,14545.00,ND,ND,ND,ND,ND,ND,ND
1969:Q2,15360.00,767.00,7075.00,4921.00,2597.00,15360.00,ND,ND,ND,ND,ND,ND,ND
1969:Q3,16079.00,779.00,7387.00,5219.00,2694.00,16079.00,ND,ND,ND,ND,ND,ND,ND
1969:Q4,16549.00,907.00,7341.00,5542.00,2759.00,16549.00,ND,ND,ND,ND,ND,ND,ND
1970:Q1,14087.00,653.00,4896.00,5771.00,2767.00,14087.00,ND,ND,ND,ND,ND,ND,ND
1970:Q2,14408.00,651.00,4697.00,6183.00,2877.00,14408.00,ND,ND,ND,ND,ND,ND,ND
1970:Q3,14751.00,719.00,4463.00,6561.00,3008.00,14751.00,ND,ND,ND,ND,ND,ND,ND
1970:Q4,15093.00,860.00,4291.00,6811.00,3131.00,15093.00,ND,ND,ND,ND,ND,ND,ND
1971:Q1,14980.00,1050.00,3874.00,6854.00,3202.00,14980.00,ND,ND,ND,ND,ND,ND,ND
1971:Q2,15651.00,1187.00,3985.00,7082.00,3397.00,15651.00,ND,ND,ND,ND,ND,ND,ND
1971:Q3,16398.00,1225.00,4278.00,7282.00,3613.00,16398.00,ND,ND,ND,ND,ND,ND,ND
1971:Q4,17037.00,1158.00,4696.00,7383.00,3800.00,17037.00,ND,ND,ND,ND,ND,ND,ND
1972:Q1,18215.00,1083.00,5813.00,7388.00,3931.00,18215.00,ND,ND,ND,ND,ND,ND,ND
1972:Q2,19383.00,994.00,6852.00,7466.00,4071.00,19383.00,ND,ND,ND,ND,ND,ND,ND
1972:Q3,20041.00,1055.00,7150.00,7628.00,4208.00,20041.00,ND,ND,ND,ND,ND,ND,ND
1972:Q4,19526.00,1258.00,6304.00,7710.00,4254.00,19526.00,ND,ND,ND,ND,ND,ND,ND
1973:Q1,18900.00,1229.00,5868.00,7621.00,4182.00,18900.00,ND,ND,ND,ND,ND,ND,ND
1973:Q2,18681.00,1355.00,5298.00,7778.00,4250.00,18681.00,ND,ND,ND,ND,ND,ND,ND
1973:Q3,19288.00,1499.00,5521.00,7927.00,4341.00,19288.00,ND,ND,ND,ND,ND,ND,ND
1973:Q4,20084.00,1662.00,6020.00,7979.00,4423.00,20084.00,ND,ND,ND,ND,ND,ND,ND
1974:Q1,19914.00,1316.00,6309.00,7846.00,4443.00,19914.00,ND,ND,ND,ND,ND,ND,ND
1974:Q2,20860.00,1543.00,6705.00,7964.00,4648.00,20860.00,ND,ND,ND,ND,ND,ND,ND
1974:Q3,21837.00,1609.00,7255.00,8077.00,4896.00,21837.00,ND,ND,ND,ND,ND,ND,ND
1974:Q4,21673.00,1515.00,6946.00,8100.00,5112.00,21673.00,ND,ND,ND,ND,ND,ND,ND
1975:Q1,22176.00,2084.00,6960.00,7946.00,5186.00,22176.00,ND,ND,ND,ND,ND,ND,ND
1975:Q2,23005.00,1860.00,7716.00,8063.00,5366.00,23005.00,ND,ND,ND,ND,ND,ND,ND
1975:Q3,24282.00,2056.00,8589.00,8191.00,5446.00,24282.00,ND,ND,ND,ND,ND,ND,ND
1975:Q4,24125.00,2663.00,7845.00,8244.00,5373.00,24125.00,ND,ND,ND,ND,ND,ND,ND
1976:Q1,23678.00,3220.00,7027.00,8217.00,5214.00,23678.00,ND,ND,ND,ND,ND,ND,ND
1976:Q2,23128.00,3756.00,5930.00,8288.00,5154.00,23128.00,ND,ND,ND,ND,ND,ND,ND
1976:Q3,25699.00,4006.00,7980.00,8461.00,5252.00,25699.00,ND,ND,ND,ND,ND,ND,ND
1976:Q4,26323.00,3969.00,8384.00,8565.00,5405.00,26323.00,ND,ND,ND,ND,ND,ND,ND
1977:Q1,27403.00,3878.00,9504.00,8527.00,5494.00,27403.00,ND,ND,ND,ND,ND,ND,ND
1977:Q2,25846.00,4047.00,7184.00,8846.00,5769.00,25846.00,ND,ND,ND,ND,ND,ND,ND
1977:Q3,29158.00,4320.00,9561.00,9273.00,6004.00,29158.00,ND,ND,ND,ND,ND,ND,ND
1977:Q4,28080.00,4577.00,7695.00,9687.00,6121.00,28080.00,ND,ND,ND,ND,ND,ND,ND
1978:Q1,31509.00,4599.00,10941.00,9893.00,6076.00,31509.00,ND,ND,ND,ND,ND,ND,ND
1978:Q2,29306.00,4808.00,7884.00,10374.00,6240.00,29306.00,ND,ND,ND,ND,ND,ND,ND
1978:Q3,30993.00,4888.00,8903.00,10753.00,6449.00,30993.00,ND,ND,ND,ND,ND,ND,ND
1978:Q4,30479.00,4838.00,8116.00,10892.00,6633.00,30479.00,ND,ND,ND,ND,ND,ND,ND
1979:Q1,28566.00,4781.00,6398.00,10708.00,6679.00,28566.00,ND,ND,ND,ND,ND,ND,ND
1979:Q2,29585.00,4712.00,7105.00,10843.00,6925.00,29585.00,ND,ND,ND,ND,ND,ND,ND
1979:Q3,32428.00,4812.00,9506.00,10984.00,7126.00,32428.00,ND,ND,ND,ND,ND,ND,ND
1979:Q4,39184.00,5081.00,15869.00,11034.00,7200.00,39184.00,ND,ND,ND,ND,ND,ND,ND
1980:Q1,45036.00,5245.00,21419.00,10985.00,7387.00,45036.00,ND,ND,ND,ND,ND,ND,ND
1980:Q2,49455.00,5299.00,26022.00,11073.00,7061.00,49455.00,ND,ND,ND,ND,ND,ND,ND
1980:Q3,52461.00,5615.00,27895.00,11296.00,7655.00,52461.00,ND,ND,ND,ND,ND,ND,ND
1980:Q4,49635.00,6190.00,24223.00,11408.00,7814.00,49635.00,ND,ND,ND,ND,ND,ND,ND
1981:Q1,46611.00,7685.00,20008.00,11283.00,7635.00,46611.00,ND,ND,ND,ND,ND,ND,ND
1981:Q2,43533.00,6005.00,18023.00,11550.00,7955.00,43533.00,ND,ND,ND,ND,ND,ND,ND
1981:Q3,44830.00,8712.00,15822.00,11844.00,8452.00,44830.00,ND,ND,ND,ND,ND,ND,ND
1981:Q4,40309.00,7110.00,12795.00,12024.00,8380.00,40309.00,ND,ND,ND,ND,ND,ND,ND
1982:Q1,39055.00,7880.00,11014.00,11927.00,8234.00,39055.00,ND,ND,ND,ND,ND,ND,ND
1982:Q2,45481.00,9593.00,15174.00,12189.00,8525.00,45481.00,ND,ND,ND,ND,ND,ND,ND
1982:Q3,55387.00,11901.00,22143.00,12399.00,8944.00,55387.00,ND,ND,ND,ND,ND,ND,ND
1982:Q4,60166.00,10307.00,28194.00,12438.00,9227.00,60166.00,ND,ND,ND,ND,ND,ND,ND
1983:Q1,59640.00,6271.00,32028.00,12225.00,9116.00,59640.00,ND,ND,ND,ND,ND,ND,ND
1983:Q2,67723.00,7850.00,37676.00,12501.00,9696.00,67723.00,ND,ND,ND,ND,ND,ND,ND
1983:Q3,60904.00,7402.00,30352.00,12920.00,10230.00,60904.00,ND,ND,ND,ND,ND,ND,ND
1983:Q4,60582.00,11139.00,25875.00,13331.00,10237.00,60582.00,ND,ND,ND,ND,ND,ND,ND
1984:Q1,47085.00,9528.00,13686.00,13635.00,10236.00,47085.00,ND,ND,ND,ND,ND,ND,ND
1984:Q2,40402.00,10048.00,6473.00,14036.00,9845.00,40402.00,ND,ND,ND,ND,ND,ND,ND
1984:Q3,53586.00,10571.00,18266.00,14468.00,10281.00,53586.00,ND,ND,ND,ND,ND,ND,ND
1984:Q4,58229.00,18789.00,14195.00,14613.00,10632.00,58229.00,ND,ND,ND,ND,ND,ND,ND
1985:Q1,49676.00,8812.00,15970.00,14377.00,10517.00,49676.00,ND,ND,ND,ND,ND,ND,ND
1985:Q2,59698.00,14102.00,20075.00,14640.00,10881.00,59698.00,ND,ND,ND,ND,ND,ND,ND
1985:Q3,48824.00,12256.00,10328.00,15001.00,11239.00,48824.00,ND,ND,ND,ND,ND,ND,ND
1985:Q4,68623.00,20457.00,21454.00,15295.00,11417.00,68623.00,ND,ND,ND,ND,ND,ND,ND
1986:Q1,50857.00,5757.00,17915.00,15251.00,11934.00,50857.00,ND,ND,ND,ND,ND,ND,ND
1986:Q2,51458.00,14592.00,9696.00,15626.00,11544.00,51458.00,ND,ND,ND,ND,ND,ND,ND
1986:Q3,62956.00,20472.00,14642.00,15836.00,12006.00,62956.00,ND,ND,ND,ND,ND,ND,ND
1986:Q4,76251.00,22586.00,25651.00,15702.00,12312.00,76251.00,ND,ND,ND,ND,ND,ND,ND
1987:Q1,51976.00,6055.00,17961.00,15152.00,12808.00,51976.00,ND,ND,ND,ND,ND,ND,ND
1987:Q2,49997.00,6924.00,14911.00,15518.00,12644.00,49997.00,ND,ND,ND,ND,ND,ND,ND
1987:Q3,69044.00,9369.00,31269.00,15546.00,12860.00,69044.00,ND,ND,ND,ND,ND,ND,ND
1987:Q4,58021.00,8592.00,20942.00,15622.00,12865.00,58021.00,ND,ND,ND,ND,ND,ND,ND
1988:Q1,76042.00,22541.00,24998.00,15596.00,12907.00,76042.00,ND,ND,ND,ND,ND,ND,ND
1988:Q2,68069.00,17746.00,21086.00,15858.00,13379.00,68069.00,ND,ND,ND,ND,ND,ND,ND
1988:Q3,72921.00,18512.00,24295.00,16255.00,13859.00,72921.00,ND,ND,ND,ND,ND,ND,ND
1988:Q4,76513.00,19883.00,25476.00,16480.00,14674.00,76513.00,ND,ND,ND,ND,ND,ND,ND
1989:Q1,58072.00,7094.00,19542.00,16322.00,15114.00,58072.00,ND,ND,ND,ND,ND,ND,ND
1989:Q2,74134.00,22479.00,18897.00,16661.00,16097.00,74134.00,ND,ND,ND,ND,ND,ND,ND
1989:Q3,70349.00,15692.00,20903.00,16901.00,16853.00,70349.00,ND,ND,ND,ND,ND,ND,ND
1989:Q4,65856.00,8180.00,23217.00,17020.00,17439.00,65856.00,ND,ND,ND,ND,ND,ND,ND
1990:Q1,74539.00,18655.00,21819.00,16704.00,17361.00,74539.00,ND,ND,ND,ND,ND,ND,ND
1990:Q2,79584.00,33544.00,11282.00,17017.00,17741.00,79584.00,ND,ND,ND,ND,ND,ND,ND
1990:Q3,72961.00,10402.00,27289.00,17244.00,18026.00,72961.00,ND,ND,ND,ND,ND,ND,ND
1990:Q4,71786.00,15623.00,20270.00,17619.00,18274.00,71786.00,ND,ND,ND,ND,ND,ND,ND
1991:Q1,63215.00,3528.00,25144.00,17106.00,17437.00,63215.00,ND,ND,ND,ND,ND,ND,ND
1991:Q2,80959.00,13763.00,30805.00,17561.00,18830.00,80959.00,ND,ND,ND,ND,ND,ND,ND
1991:Q3,79590.00,13184.00,28633.00,17952.00,19821.00,79590.00,ND,ND,ND,ND,ND,ND,ND
1991:Q4,81848.00,12612.00,29740.00,18434.00,21062.00,81848.00,ND,ND,ND,ND,ND,ND,ND
1992:Q1,74875.00,7892.00,26913.00,18316.00,21754.00,74875.00,ND,ND,ND,ND,ND,ND,ND
1992:Q2,87161.00,16786.00,28863.00,18569.00,22943.00,87161.00,ND,ND,ND,ND,ND,ND,ND
1992:Q3,91384.00,20069.00,28989.00,18593.00,23733.00,91384.00,ND,ND,ND,ND,ND,ND,ND
1992:Q4,87647.00,44515.00,329.00,18613.00,24190.00,87647.00,ND,ND,ND,ND,ND,ND,ND
1993:Q1,109390.00,25880.00,42153.00,17850.00,23507.00,109390.00,ND,ND,ND,ND,ND,ND,ND
1993:Q2,95212.00,21178.00,32393.00,17968.00,23673.00,95212.00,ND,ND,ND,ND,ND,ND,ND
1993:Q3,90409.00,33137.00,16722.00,18052.00,22498.00,90409.00,ND,ND,ND,ND,ND,ND,ND
1993:Q4,76555.00,15755.00,18264.00,18184.00,24352.00,76555.00,ND,ND,ND,ND,ND,ND,ND
1994:Q1,95885.00,5584.00,48522.00,17740.00,24039.00,95885.00,ND,ND,ND,ND,ND,ND,ND
1994:Q2,91137.00,305.00,48333.00,17983.00,24516.00,91137.00,ND,ND,ND,ND,ND,ND,ND
1994:Q3,81595.00,21582.00,15679.00,18610.00,25724.00,81595.00,ND,ND,ND,ND,ND,ND,ND
1994:Q4,48755.00,-3137.00,7880.00,18337.00,25675.00,48755.00,ND,ND,ND,ND,ND,ND,ND
1995:Q1,81683.00,29274.00,8694.00,18382.00,25333.00,81683.00,ND,ND,ND,ND,ND,ND,ND
1995:Q2,83580.00,19984.00,21360.00,18308.00,23928.00,83580.00,ND,ND,ND,ND,ND,ND,ND
1995:Q3,90313.00,13076.00,32258.00,18303.00,26676.00,90313.00,ND,ND,ND,ND,ND,ND,ND
1995:Q4,80941.00,9397.00,25804.00,18341.00,27399.00,80941.00,ND,ND,ND,ND,ND,ND,ND
1996:Q1,79805.00,8455.00,25795.00,18279.00,27276.00,79805.00,ND,ND,ND,ND,ND,ND,ND
1996:Q2,73641.00,6718.00,20855.00,18514.00,27554.00,73641.00,ND,ND,ND,ND,ND,ND,ND
1996:Q3,74588.00,5569.00,23074.00,18135.00,27810.00,74588.00,ND,ND,ND,ND,ND,ND,ND
1996:Q4,100393.00,31039.00,21751.00,18652.00,28951.00,100393.00,ND,ND,ND,ND,ND,ND,ND
1997:Q1,83898.00,14808.00,14769.00,17684.00,36637.00,83898.00,ND,ND,ND,ND,ND,ND,ND
1997:Q2,105252.00,25810.00,24878.00,18699.00,35865.00,105252.00,ND,ND,ND,ND,ND,ND,ND
1997:Q3,96697.00,19087.00,24515.00,18236.00,34859.00,96697.00,ND,ND,ND,ND,ND,ND,ND
1997:Q4,88386.00,-2942.00,32364.00,19225.00,39739.00,88386.00,ND,ND,ND,ND,ND,ND,ND
1998:Q1,118427.00,17308.00,46198.00,18248.00,36673.00,118427.00,ND,ND,ND,ND,ND,ND,ND
1998:Q2,122527.00,28402.00,36402.00,19219.00,38504.00,122527.00,ND,ND,ND,ND,ND,ND,ND
1998:Q3,115656.00,20326.00,34370.00,18238.00,42722.00,115656.00,ND,ND,ND,ND,ND,ND,ND
1998:Q4,97376.00,1295.00,37474.00,20362.00,38245.00,97376.00,ND,ND,ND,ND,ND,ND,ND
1999:Q1,64520.00,453.00,5933.00,18498.00,39636.00,64520.00,ND,ND,ND,ND,ND,ND,ND
1999:Q2,80757.00,6509.00,15191.00,20013.00,39044.00,80757.00,ND,ND,ND,ND,ND,ND,ND
1999:Q3,80558.00,-4719.00,20916.00,19439.00,44922.00,80558.00,ND,ND,ND,ND,ND,ND,ND
1999:Q4,102809.00,20166.00,29758.00,20276.00,32609.00,102809.00,ND,ND,ND,ND,ND,ND,ND
2000:Q1,91680.00,7402.00,37718.00,19740.00,26820.00,91680.00,ND,ND,ND,ND,ND,ND,ND
2000:Q2,95994.00,24253.00,17744.00,19840.00,34157.00,95994.00,ND,ND,ND,ND,ND,ND,ND
2000:Q3,96828.00,26437.00,19269.00,20227.00,30895.00,96828.00,ND,ND,ND,ND,ND,ND,ND
2000:Q4,109959.00,22871.00,28993.00,19961.00,38134.00,109959.00,ND,ND,ND,ND,ND,ND,ND
2001:Q1,101533.00,50129.00,-7932.00,19864.00,39472.00,101533.00,ND,ND,ND,ND,ND,ND,ND
2001:Q2,93632.00,4754.00,38075.00,20773.00,30030.00,93632.00,ND,ND,ND,ND,ND,ND,ND
2001:Q3,148601.00,63544.00,22069.00,20107.00,42881.00,148601.00,ND,ND,ND,ND,ND,ND,ND
2001:Q4,73000.00,-26307.00,49101.00,21541.00,28665.00,73000.00,ND,ND,ND,ND,ND,ND,ND
2002:Q1,119729.00,-13103.00,79260.00,21089.00,32483.00,119729.00,ND,ND,ND,ND,ND,ND,ND
2002:Q2,94746.00,45956.00,-10444.00,20430.00,38804.00,94746.00,ND,ND,ND,ND,ND,ND,ND
2002:Q3,110179.00,51641.00,-5929.00,23597.00,40870.00,110179.00,ND,ND,ND,ND,ND,ND,ND
2002:Q4,122806.00,39350.00,21370.00,30073.00,32013.00,122806.00,ND,ND,ND,ND,ND,ND,ND
2003:Q1,178967.00,18214.00,79121.00,32148.00,49484.00,178967.00,ND,ND,ND,ND,ND,ND,ND
2003:Q2,104474.00,-6805.00,46566.00,23160.00,41553.00,104474.00,ND,ND,ND,ND,ND,ND,ND
2003:Q3,101479.00,2495.00,25545.00,24567.00,48872.00,101479.00,ND,ND,ND,ND,ND,ND,ND
2003:Q4,116243.00,3061.00,43587.00,23296.00,46299.00,116243.00,ND,ND,ND,ND,ND,ND,ND
2004:Q1,137786.00,33016.00,33458.00,23486.00,47826.00,137786.00,ND,ND,ND,ND,ND,ND,ND
2004:Q2,137937.00,24434.00,39170.00,22970.00,51363.00,137937.00,ND,ND,ND,ND,ND,ND,ND
2004:Q3,174005.00,40488.00,56969.00,24505.00,52043.00,174005.00,ND,ND,ND,ND,ND,ND,ND
2004:Q4,145982.00,13994.00,61280.00,24640.00,46068.00,145982.00,ND,ND,ND,ND,ND,ND,ND
2005:Q1,140922.00,30058.00,34424.00,23988.00,52452.00,140922.00,ND,ND,ND,ND,ND,ND,ND
2005:Q2,146445.00,31844.00,41020.00,24327.00,49254.00,146445.00,ND,ND,ND,ND,ND,ND,ND
2005:Q3,122526.00,3767.00,45582.00,25050.00,48127.00,122526.00,ND,ND,ND,ND,ND,ND,ND
2005:Q4,143594.00,26787.00,41194.00,24445.00,51168.00,143594.00,ND,ND,ND,ND,ND,ND,ND
2006:Q1,121410.00,5327.00,43220.00,23651.00,49212.00,121410.00,ND,ND,ND,ND,ND,ND,ND
2006:Q2,148427.00,28676.00,39097.00,23872.00,56782.00,148427.00,ND,ND,ND,ND,ND,ND,ND
